thread_id,status,detail,thread_start_time
5399332758,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-15 19:32:53.179000+00:00
5415869031,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-19 07:52:49.144000+00:00
5419143972,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-19 16:12:51.584000+00:00
5432291947,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-21 06:43:59.277000+00:00
5433973118,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-21 11:39:48.569000+00:00
5440808532,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-22 03:44:56.185000+00:00
5443398533,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-22 14:41:28.929000+00:00
5451905542,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-24 15:00:22.054000+00:00
5472219943,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-27 09:03:14.420000+00:00
5473791884,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-27 13:36:15.614000+00:00
5475885914,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-27 17:46:06.648000+00:00
5479052624,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-28 02:46:29.091000+00:00
5479090716,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-28 02:53:43.422000+00:00
5512189045,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-10-02 23:41:30.361000+00:00
5516325126,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-10-03 14:10:38.449000+00:00
5517919751,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-10-03 17:32:35.695000+00:00
5529296468,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-10-04 20:42:06.009000+00:00
5544761961,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-10-06 15:23:06.821000+00:00
5546863151,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-10-06 19:45:04.275000+00:00
5570480897,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-10-10 19:39:01.532000+00:00
5571597148,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-10-10 22:10:23.820000+00:00
5593866092,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-10-13 01:36:08.536000+00:00
5595685446,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-10-13 08:03:46.472000+00:00
5637727928,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-10-19 01:02:03.112000+00:00
5661907632,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-10-22 09:40:41.481000+00:00
5672212246,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-10-23 17:08:10.953000+00:00
5704748339,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-10-26 17:49:13.654000+00:00
5730782635,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-10-30 16:24:13.207000+00:00
